Created with UCDetector 1.10.0	2014-11-17 16:38:11	http://www.ucdetector.org/	
Location	Description	Java	Marker	Author
cn.sunyard.encrypt.Base64.<init>(Base64.java:3)	Class "Base64" has 0 references	Base64	org.ucdetector.analyzeMarkerReference	
cn.sunyard.location.LocationSlideControl.<init>(LocationSlideControl.java:20)	Class "LocationSlideControl" has 0 references	LocationSlideControl	org.ucdetector.analyzeMarkerReference	
cn.sunyard.location.SearchResultAdapter.<init>(SearchResultAdapter.java:15)	Class "SearchResultAdapter" has 0 references	SearchResultAdapter	org.ucdetector.analyzeMarkerReference	
cn.sunyard.model.AppModel.<init>(AppModel.java:66)	Interface "AppModel.Observer" has 0 references	AppModel.Observer	org.ucdetector.analyzeMarkerReference	
cn.sunyard.ui.PageIndicatorView.<init>(PageIndicatorView.java:15)	Class "PageIndicatorView" has 0 references	PageIndicatorView	org.ucdetector.analyzeMarkerReference	
cn.sunyard.ui.gallery.adapter.AdapterWheel.<init>(AdapterWheel.java:11)	Class "AdapterWheel" has 0 references	AdapterWheel	org.ucdetector.analyzeMarkerReference	
cn.sunyard.ui.gallery.adapter.ArrayWheelAdapter.<init>(ArrayWheelAdapter.java:9)	Class "ArrayWheelAdapter" has 0 references	ArrayWheelAdapter	org.ucdetector.analyzeMarkerReference	
cn.sunyard.ui.gallery.adapter.NumericWheelAdapter.<init>(NumericWheelAdapter.java:8)	Class "NumericWheelAdapter" has 0 references	NumericWheelAdapter	org.ucdetector.analyzeMarkerReference	
cn.sunyard.util.MultiDialog.<init>(MultiDialog.java:18)	Class "MultiDialog" has 0 references	MultiDialog	org.ucdetector.analyzeMarkerReference	
cn.sunyard.util.WidgetUtil.<init>(WidgetUtil.java:6)	Class "WidgetUtil" has 0 references	WidgetUtil	org.ucdetector.analyzeMarkerReference	
cn.sunyard.verify.CustomSecurity.<init>(CustomSecurity.java:17)	Class "CustomSecurity" has 0 references	CustomSecurity	org.ucdetector.analyzeMarkerReference	pengxue
com.chinaums.adapter.SelectCardSpinnerAdapter.<init>(SelectCardSpinnerAdapter.java:20)	Class "SelectCardSpinnerAdapter" has 0 references	SelectCardSpinnerAdapter	org.ucdetector.analyzeMarkerReference	Administrator
com.chinaums.mpos.DeviceInfo.<init>(DeviceInfo.java:3)	Class "DeviceInfo" has 0 references	DeviceInfo	org.ucdetector.analyzeMarkerReference	
com.chinaums.pospassport.POSPassportPayActivity.<init>(POSPassportPayActivity.java:314)	Member class "POSPassportPayActivity.POSPassportBindCardItemInfo" has 0 references	POSPassportPayActivity.POSPassportBindCardItemInfo	org.ucdetector.analyzeMarkerReference	Xuechao Wang <br/>
com.chinaums.pospassport.POSPassportUnBindActivity.<init>(POSPassportUnBindActivity.java:327)	Member class "POSPassportUnBindActivity.POSPassportBindCardItemInfo" has 0 references	POSPassportUnBindActivity.POSPassportBindCardItemInfo	org.ucdetector.analyzeMarkerReference	Xuechao Wang <br/>
com.google.zxing.client.android.Intents.<init>(Intents.java:160)	Member class "Intents.History" has 0 references	Intents.History	org.ucdetector.analyzeMarkerReference	dswitkin@google.com (Daniel Switkin)
com.google.zxing.client.android.Intents.<init>(Intents.java:168)	Member class "Intents.Encode" has 0 references	Intents.Encode	org.ucdetector.analyzeMarkerReference	dswitkin@google.com (Daniel Switkin)
com.google.zxing.client.android.Intents.<init>(Intents.java:206)	Member class "Intents.SearchBookContents" has 0 references	Intents.SearchBookContents	org.ucdetector.analyzeMarkerReference	dswitkin@google.com (Daniel Switkin)
com.google.zxing.client.android.Intents.<init>(Intents.java:226)	Member class "Intents.WifiConnect" has 0 references	Intents.WifiConnect	org.ucdetector.analyzeMarkerReference	dswitkin@google.com (Daniel Switkin)
com.google.zxing.client.android.Intents.<init>(Intents.java:251)	Member class "Intents.Share" has 0 references	Intents.Share	org.ucdetector.analyzeMarkerReference	dswitkin@google.com (Daniel Switkin)
